model,nb_users,agent_id,run_id,percent
ministral-3:14b,75,60,9,0
gemma3:12b,100,71,5,0
ministral-3:14b,100,39,5,100
ministral-3:14b,100,52,2,0
qwen3:14b,75,65,5,100
qwen3:14b,50,3,9,100
qwen3:14b,100,84,4,100
gemma3:12b,25,18,7,0
gemma3:12b,100,31,7,0
ministral-3:14b,100,44,5,0
qwen3:14b,100,50,4,0
gemma3:12b,100,1,1,100
ministral-3:14b,75,17,0,0
qwen3:14b,100,71,2,100
ministral-3:14b,50,32,7,0
qwen3:14b,75,16,0,100
ministral-3:14b,75,30,1,0
gemma3:12b,100,60,9,100
ministral-3:14b,75,18,3,0
ministral-3:14b,100,46,4,0
qwen3:14b,100,1,3,0
ministral-3:14b,75,70,5,0
qwen3:14b,100,14,4,0
ministral-3:14b,50,46,8,0
qwen3:14b,50,13,2,100
ministral-3:14b,75,72,6,100
gemma3:12b,25,23,9,100
qwen3:14b,100,59,2,100
qwen3:14b,75,24,6,100
qwen3:14b,25,13,5,0
ministral-3:14b,100,62,2,0
gemma3:12b,100,6,2,0
gemma3:12b,100,89,4,0
qwen3:14b,100,32,3,100
ministral-3:14b,50,44,5,0
ministral-3:14b,75,63,4,0
ministral-3:14b,100,75,4,0
qwen3:14b,50,8,8,100
qwen3:14b,100,19,0,0
gemma3:12b,75,34,0,0
qwen3:14b,100,93,1,0
qwen3:14b,50,20,2,0
gemma3:12b,50,43,1,0
qwen3:14b,10,2,3,0
gemma3:12b,75,4,7,100
ministral-3:14b,50,6,9,0
qwen3:14b,100,82,7,100
gemma3:12b,100,17,7,0
gemma3:12b,50,40,2,0
ministral-3:14b,50,25,4,0
gemma3:12b,100,12,1,100
qwen3:14b,75,17,5,0
gemma3:12b,75,53,9,0
ministral-3:14b,75,56,3,0
qwen3:14b,75,49,8,100
gemma3:12b,100,6,4,0
qwen3:14b,75,24,7,0
ministral-3:14b,50,24,0,0
gemma3:12b,75,23,1,100
gemma3:12b,100,97,0,0
gemma3:12b,75,11,8,0
ministral-3:14b,75,2,8,0
qwen3:14b,75,40,7,100
qwen3:14b,50,28,5,0
qwen3:14b,50,30,6,100
gemma3:12b,50,24,1,0
gemma3:12b,75,37,2,0
qwen3:14b,75,2,3,100
qwen3:14b,75,43,7,0
gemma3:12b,100,73,0,100
gemma3:12b,100,11,6,0
ministral-3:14b,10,4,6,0
qwen3:14b,10,5,6,100
qwen3:14b,100,49,4,100
qwen3:14b,100,25,2,0
gemma3:12b,100,84,4,0
gemma3:12b,100,93,2,0
qwen3:14b,100,51,2,0
ministral-3:14b,50,28,0,0
ministral-3:14b,75,1,6,0
ministral-3:14b,50,23,0,100
gemma3:12b,25,17,3,100
qwen3:14b,100,8,3,100
ministral-3:14b,10,2,6,0
gemma3:12b,75,28,5,0
ministral-3:14b,25,2,3,0
qwen3:14b,75,10,8,100
gemma3:12b,100,57,3,0
qwen3:14b,100,35,3,100
ministral-3:14b,50,14,2,0
qwen3:14b,75,8,0,0
gemma3:12b,50,37,9,100
ministral-3:14b,50,24,6,0
gemma3:12b,75,60,2,0
ministral-3:14b,100,49,2,0
